==>Arguments:
arch:alexnet
checkpoint:./checkpoints/
datapath:./data/
dataset:cifar10
epochs:150
evaluate:False
gamma:0.1
gpu_id:1
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50, 90, 130]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.000100	0.898182	0.682119	68.699997	77.150002	
0.000100	0.891017	0.680455	69.112000	77.150002	
0.000100	0.891231	0.686042	69.299995	76.949997	
0.000100	0.885191	0.686064	69.538002	77.119995	
0.000100	0.887943	0.679909	69.386002	77.150002	
0.000100	0.890909	0.680496	69.019997	77.089996	
0.000100	0.876704	0.685374	69.596001	77.159996	
0.000100	0.886412	0.684528	69.344002	77.229996	
0.000100	0.894621	0.682694	69.009995	77.299995	
0.000100	0.890156	0.675022	69.056000	77.519997	
0.000100	0.890331	0.686626	69.397995	77.129997	
0.000100	0.885866	0.685823	69.299995	77.139999	
0.000100	0.888770	0.681369	69.481995	77.110001	
0.000100	0.886918	0.679553	69.360001	77.250000	
0.000100	0.891230	0.685370	69.208000	77.099998	
0.000100	0.889634	0.686622	69.061996	77.189995	
0.000100	0.886083	0.676699	69.245995	77.449997	
0.000100	0.889723	0.672437	69.206001	77.659996	
0.000100	0.885530	0.684831	69.633995	77.189995	
0.000100	0.893140	0.674440	69.085999	77.540001	
0.000100	0.881828	0.686707	69.561996	77.080002	
0.000100	0.882187	0.681054	69.566002	77.189995	
0.000100	0.880506	0.694146	69.360001	76.900002	
0.000100	0.886809	0.681034	69.379997	77.229996	
0.000100	0.875581	0.680470	69.687996	77.199997	
0.000100	0.881147	0.677070	69.374001	77.459999	
0.000100	0.879862	0.678774	69.535995	77.500000	
0.000100	0.878269	0.687038	69.681999	77.220001	
0.000100	0.874535	0.678045	69.683998	77.559998	
0.000100	0.883831	0.680885	69.355995	77.290001	
0.000100	0.877074	0.680173	69.617996	77.419998	
0.000100	0.879907	0.677130	69.327995	77.540001	
0.000100	0.880374	0.682511	69.461998	77.290001	
0.000100	0.885996	0.680589	69.178001	77.459999	
0.000100	0.883017	0.679964	69.489998	77.439995	
