==>Arguments:
arch:resnet
checkpoint:./checkpoints/
datapath:./data/
dataset:cifar10
epochs:150
evaluate:False
gamma:0.1
gpu_id:1
lr:0.1
momentum:0.9
resume:./checkpoints/
schedule:[50, 90, 130]
train_batchsize:64
val_batchsize:16
weight_decay:0.0001
==>Training log:
Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	0.625324	0.582869	78.223999	81.930000	
0.001000	0.622707	0.576794	78.145996	82.349998	
0.001000	0.621315	0.582857	78.416000	82.279999	
0.001000	0.624645	0.567935	78.339996	82.250000	
0.001000	0.617599	0.570459	78.467995	82.299995	
0.001000	0.616817	0.577798	78.330002	82.329994	
0.001000	0.619731	0.573969	78.084000	82.099998	
0.001000	0.617034	0.572187	78.533997	82.259995	
0.001000	0.612317	0.573982	78.666000	82.360001	
0.001000	0.614440	0.562838	78.661995	82.489998	
0.001000	0.607694	0.577381	78.706001	82.239998	
0.001000	0.610960	0.579884	78.528000	82.139999	
0.001000	0.604062	0.571094	79.005997	82.089996	
0.001000	0.612422	0.582978	78.596001	82.199997	
0.001000	0.614920	0.576418	78.467995	82.209999	
0.000100	0.611310	0.581406	78.561996	82.099998	
0.000100	0.601666	0.590960	78.973999	81.939995	
0.000100	0.605643	0.571938	78.923996	82.239998	
0.000100	0.605953	0.576447	78.820000	82.379997	
0.000100	0.592494	0.573430	79.259995	82.419998	
0.000100	0.600385	0.570467	79.208000	82.199997	
0.000100	0.606602	0.571937	78.753998	82.320000	
0.000100	0.605519	0.573128	78.963997	82.389999	
0.000100	0.602959	0.581847	78.916000	82.079994	
0.000100	0.606303	0.587868	78.886002	82.229996	
0.000100	0.604572	0.577558	78.795998	82.329994	
0.000100	0.592899	0.574680	79.181999	82.099998	
0.000100	0.611450	0.567888	78.503998	82.579994	
0.000100	0.608731	0.569866	78.745995	82.419998	
0.000100	0.603319	0.582289	78.681999	82.290001	
0.000100	0.598742	0.571361	79.003998	82.329994	
0.000100	0.602680	0.572384	78.928001	82.400002	
0.000100	0.597538	0.586568	79.243996	81.989998	
0.000100	0.593857	0.580647	79.087997	82.129997	
0.000100	0.597229	0.576524	79.222000	82.299995	
